 location ,cause,year,death
African Region,Maternal hemorrhage,1990,15341.16237
African Region,Maternal sepsis and other maternal infections,1990,12055.688
African Region,Maternal hypertensive disorders,1990,7683.25717
African Region,Maternal obstructed labor and uterine rupture,1990,2509.426828
African Region,Ectopic pregnancy,1990,2456.83286
African Region,Indirect maternal deaths,1990,3394.558307
African Region,Late maternal deaths,1990,3683.28685
African Region,Other maternal disorders,1990,7284.437844
African Region,Maternal abortion and miscarriage,1990,22556.34048
Region of the Americas,Maternal hemorrhage,1990,2886.724304
Region of the Americas,Maternal sepsis and other maternal infections,1990,1798.295966
Region of the Americas,Maternal hypertensive disorders,1990,3057.155228
Region of the Americas,Maternal obstructed labor and uterine rupture,1990,136.1908055
Region of the Americas,Ectopic pregnancy,1990,226.1991255
Region of the Americas,Indirect maternal deaths,1990,722.5438371
Region of the Americas,Late maternal deaths,1990,775.1641104
Region of the Americas,Other maternal disorders,1990,1482.54201
African Region,Maternal deaths aggravated by HIV/AIDS,1990,702.744244
African Region,Maternal hemorrhage,1991,15423.60776
African Region,Maternal sepsis and other maternal infections,1991,12184.84431
African Region,Maternal hypertensive disorders,1991,7769.724226
African Region,Maternal obstructed labor and uterine rupture,1991,2497.924364
African Region,Ectopic pregnancy,1991,2494.109647
African Region,Indirect maternal deaths,1991,3421.793984
African Region,Late maternal deaths,1991,3741.213463
African Region,Other maternal disorders,1991,7397.892297
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1990,18.2334538
African Region,Maternal deaths aggravated by HIV/AIDS,1991,858.8256357
Region of the Americas,Maternal abortion and miscarriage,1990,2997.617649
South-East Asia Region,Maternal abortion and miscarriage,1990,24582.80569
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1990,3.078966501
Region of the Americas,Maternal abortion and miscarriage,1991,2820.418718
African Region,Maternal abortion and miscarriage,1991,22353.23368
South-East Asia Region,Maternal hemorrhage,1990,58995.9159
South-East Asia Region,Maternal sepsis and other maternal infections,1990,17072.15448
South-East Asia Region,Maternal hypertensive disorders,1990,19289.64983
South-East Asia Region,Maternal obstructed labor and uterine rupture,1990,4442.070086
South-East Asia Region,Ectopic pregnancy,1990,2112.894778
South-East Asia Region,Indirect maternal deaths,1990,12300.461
South-East Asia Region,Late maternal deaths,1990,4321.210919
South-East Asia Region,Other maternal disorders,1990,9756.444567
Eastern Mediterranean Region,Maternal hemorrhage,1990,7801.728898
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1990,4082.514858
Eastern Mediterranean Region,Maternal hypertensive disorders,1990,5804.060725
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1990,556.0562952
Eastern Mediterranean Region,Ectopic pregnancy,1990,299.5476056
Eastern Mediterranean Region,Indirect maternal deaths,1990,1676.004523
Eastern Mediterranean Region,Late maternal deaths,1990,804.511952
Eastern Mediterranean Region,Other maternal disorders,1990,1950.314138
European Region,Maternal hemorrhage,1990,931.6074311
European Region,Maternal sepsis and other maternal infections,1990,400.7763291
